,FIT_400_001A_P.PV,FIT_400_002A_P.PV,Q_400_001A_P.PV,PT_200A_Tags.Q_RO_Feed_PV
353,805.84,700.15,805.57,
354,807.22,699.99,805.48,
355,806.54,700.21,805.73,
356,807.68,699.96,805.59,
357,805.6,700.07,805.24,
358,799.17,700.0,805.21,
359,805.67,699.99,805.49,
360,806.84,700.14,804.99,
361,806.38,700.11,805.26,
362,805.71,700.1,805.48,
363,805.44,700.18,805.53,
364,805.99,699.8,805.08,
365,804.6,700.01,805.04,
366,804.88,700.02,805.34,
367,803.49,700.0,805.37,
368,806.16,699.97,804.93,
369,805.83,700.08,805.39,
370,800.8,699.92,805.15,
371,804.53,700.16,805.31,
372,803.65,699.9,805.76,
373,803.92,699.93,805.43,
374,804.72,700.24,805.23,
375,805.61,699.9,805.34,
376,804.53,699.99,805.25,
377,809.17,700.13,805.39,
378,807.43,700.08,804.91,
379,805.92,700.13,805.56,
380,805.06,699.83,805.65,
381,805.03,699.8,805.38,
382,806.33,699.89,805.55,
383,806.4,699.92,805.29,
384,805.2,700.07,805.52,
385,804.12,699.98,805.48,
386,800.13,257.04,793.84,
387,127.64,0.31,96.44,
388,0.45,0.31,0.0,
389,0.43,0.32,0.0,
390,0.45,0.32,0.0,
391,0.45,0.34,0.0,
392,0.42,0.35,0.0,
393,0.44,0.3,0.0,
394,0.44,0.35,0.0,
395,0.43,0.31,0.0,
396,0.43,0.3,0.0,
397,0.42,0.34,0.0,
398,0.43,0.29,0.0,
399,0.44,0.32,0.0,
400,0.46,0.28,0.0,
401,547.75,0.32,279.31,
402,794.02,54.88,813.24,
403,803.45,705.02,805.4,
404,812.44,700.37,805.55,
405,806.2,699.55,805.2,
406,806.38,700.16,805.44,
407,805.29,699.75,805.57,
408,805.0,700.27,805.31,
409,803.9,700.03,805.45,
410,803.98,700.07,805.71,
411,803.92,699.87,806.33,
412,804.26,700.19,805.33,
413,804.71,699.91,805.14,
414,808.09,699.86,805.81,
415,807.69,700.51,805.67,
416,806.16,700.04,805.2,
417,805.43,700.11,805.38,
418,801.17,699.62,805.38,
419,803.5,700.06,805.41,
420,805.77,700.2,805.14,
421,806.26,700.09,805.42,
422,807.09,700.09,805.33,
423,805.83,699.76,805.27,
424,806.86,699.94,805.55,
425,804.12,699.77,805.1,
426,804.79,700.44,805.22,
427,806.71,699.94,804.88,
428,806.05,700.05,805.37,
429,805.21,699.73,805.61,
430,805.71,700.13,805.81,
431,802.76,699.99,804.92,
432,805.71,700.13,805.26,
433,806.64,700.07,805.34,
434,805.98,699.9,805.34,
435,806.84,700.17,805.21,
436,806.27,699.93,805.12,
437,802.85,699.85,805.14,
438,805.19,700.22,805.31,
439,807.32,700.34,805.16,
440,807.18,700.16,805.65,
441,805.68,700.04,805.34,
442,803.18,700.04,805.62,
443,807.94,700.06,805.37,
444,806.53,699.65,805.34,
445,807.56,700.03,805.61,
446,806.98,700.25,805.56,
447,811.64,699.77,805.58,
448,806.53,699.45,805.61,
449,794.78,265.87,795.36,
450,162.83,0.37,133.68,
451,0.46,0.34,0.0,
452,0.46,0.31,0.0,
453,0.44,0.3,0.0,
454,0.47,0.37,0.0,
455,0.44,0.34,0.0,
456,0.44,0.33,0.0,
457,0.44,0.27,0.0,
458,0.44,0.27,0.0,
459,0.45,0.35,0.0,
460,0.44,0.36,0.0,
461,0.44,0.34,0.0,
462,0.45,0.3,0.0,
463,0.44,0.34,0.0,
464,0.45,0.3,0.0,
465,0.45,0.27,0.0,
466,0.46,0.25,0.0,
467,0.47,0.32,0.0,
468,0.47,7.34,0.0,
469,0.43,20.25,0.0,
470,0.45,0.32,0.0,
471,0.47,0.3,0.0,
472,0.44,0.31,0.0,
473,0.43,0.3,0.0,
474,0.44,0.35,0.0,
475,0.43,0.3,0.0,
476,0.45,0.32,0.0,
477,0.45,0.32,0.0,
478,0.47,0.31,0.0,
479,0.45,0.33,0.0,
480,0.44,0.31,0.0,
481,0.44,0.34,0.0,
482,0.44,0.35,0.0,
483,0.45,0.32,0.0,
484,0.45,0.32,0.0,
485,0.45,0.3,0.0,
486,0.47,0.31,0.0,
487,0.43,0.34,0.0,
488,0.44,0.3,0.0,
489,0.45,0.34,0.0,
490,0.44,0.26,0.0,
491,0.45,0.32,0.0,
492,0.45,0.27,0.0,
493,0.44,0.3,0.0,
494,0.42,0.38,0.0,
495,0.44,0.28,0.0,
496,196.87,16.16,0.0,
497,815.93,0.38,726.49,
498,739.59,37.07,681.61,
499,683.35,0.33,358.12,
500,811.97,0.32,805.48,
501,748.45,34.53,685.65,
502,238.56,0.32,137.97,
503,805.67,0.33,594.89,
504,806.51,0.3,804.44,
505,806.21,0.28,805.59,
506,806.91,0.34,805.52,
507,806.26,0.32,805.45,
508,808.15,0.33,805.76,
509,802.42,0.32,771.64,
510,791.81,0.35,793.45,
511,773.33,36.4,730.69,
512,0.45,0.35,0.0,
513,0.45,0.29,0.0,
514,0.44,0.37,0.0,
515,0.45,0.34,0.0,
516,0.46,0.32,0.0,
517,0.46,0.39,0.0,
518,0.46,0.32,0.0,
519,0.46,0.31,0.0,
520,0.46,0.34,0.0,
521,0.45,0.31,0.0,
522,0.47,0.35,0.0,
523,38.8,0.35,0.0,
524,802.75,0.37,572.29,
525,794.93,159.59,811.06,
526,806.15,699.19,805.43,
527,808.61,699.9,805.45,
528,806.44,699.55,805.24,
529,802.67,700.0,805.57,
530,801.42,700.03,805.27,
531,803.64,700.16,805.23,
532,802.36,700.08,805.45,
533,808.93,700.26,805.39,
534,808.3,699.88,806.29,
535,805.12,699.98,806.07,
536,805.79,699.92,805.51,
537,804.29,699.78,804.98,
538,806.36,699.98,805.21,
539,805.54,699.91,805.25,
540,802.59,699.9,804.28,
541,801.52,699.91,805.06,
542,800.81,700.25,805.91,
543,807.85,699.98,805.42,
544,805.39,700.11,804.98,
545,806.76,699.94,805.23,
546,803.84,699.74,805.53,
547,805.57,700.14,805.35,
548,804.88,699.85,806.14,
549,805.71,700.27,805.08,
550,804.7,699.78,804.92,
551,805.75,699.57,805.52,
552,804.51,700.04,805.56,
553,804.65,699.85,805.6,
554,805.6,699.99,804.86,
555,805.14,699.7,804.25,
556,804.4,700.0,805.05,
557,805.27,700.05,805.66,
558,806.1,700.0,804.59,
559,804.53,699.9,805.36,
560,802.99,700.03,804.67,
561,803.26,700.28,804.79,
562,803.45,700.2,804.99,
563,803.88,699.88,805.54,
564,805.49,699.73,805.36,
565,809.93,700.14,805.49,
566,807.47,700.02,805.36,
567,805.77,700.07,805.58,
568,804.45,699.78,805.25,
569,802.63,700.06,805.46,
570,804.17,699.86,805.61,
571,803.77,700.08,805.15,
572,804.05,699.87,804.97,
573,803.59,700.18,805.38,
574,805.01,699.86,805.4,
575,804.15,700.18,805.39,
576,804.64,699.88,805.67,
577,809.19,700.19,805.29,
578,805.15,699.81,805.41,
579,808.1,700.03,805.34,
580,806.32,700.32,805.43,
581,804.62,700.24,805.3,
582,800.5,699.61,805.22,
583,803.61,700.36,805.61,
584,802.41,699.97,805.38,
585,803.55,699.76,805.49,
586,805.6,700.32,805.08,
587,809.49,699.87,805.22,
588,803.8,700.04,805.17,
589,807.8,700.08,805.26,
590,806.26,700.05,805.27,
591,806.06,700.23,805.52,
592,803.29,700.04,805.4,
593,805.28,700.04,805.2,
594,804.57,699.8,805.39,
595,803.57,700.23,805.38,
596,804.72,699.82,805.37,
597,805.4,700.03,805.17,
598,803.92,699.58,805.28,
599,804.23,700.1,805.48,
600,805.67,699.99,805.26,
601,805.92,700.22,805.04,
602,805.15,699.91,805.55,
603,805.07,700.11,805.08,
604,802.64,699.76,805.29,
605,804.84,700.17,805.5,
606,804.43,699.95,805.38,
607,805.79,700.17,805.36,
608,812.62,699.98,805.08,
609,807.52,700.03,805.17,
610,804.34,699.8,805.37,
611,805.35,700.0,805.38,
612,804.88,699.85,805.26,
613,805.51,700.01,805.19,
614,805.89,700.15,805.49,
615,803.7,699.68,805.32,
616,802.19,700.06,805.44,
617,801.4,700.07,805.02,
618,802.82,700.11,805.45,
619,807.49,699.91,805.48,
620,804.78,699.98,805.65,
621,806.74,699.93,805.51,
622,809.03,699.95,805.27,
623,807.49,699.57,805.44,
624,805.63,700.11,805.46,
625,805.35,699.65,805.43,
626,801.44,700.11,805.49,
627,805.97,700.1,805.36,
628,806.67,699.88,805.69,
629,806.3,700.04,805.28,
630,806.32,699.94,805.31,
631,805.65,700.26,805.34,
632,804.43,699.86,805.39,
633,806.63,700.31,805.54,
634,803.83,699.62,805.48,
635,801.33,700.01,805.27,
636,801.87,700.14,805.24,
637,804.08,700.08,805.35,
638,803.16,699.45,805.49,
639,804.05,700.01,805.26,
640,803.51,699.87,805.24,
641,804.36,700.02,805.31,
642,806.37,699.87,805.4,
643,806.62,700.33,805.46,
644,805.07,699.94,805.46,
645,805.0,699.81,805.21,
646,806.1,699.84,805.28,
647,803.21,699.84,805.31,
648,804.99,699.68,805.3,
649,805.25,700.12,805.47,
650,804.28,700.21,805.14,
651,802.09,700.22,805.53,
652,810.49,699.88,805.45,
653,807.92,700.06,805.33,
654,808.15,699.87,805.34,
655,805.86,700.0,805.53,
656,802.79,699.98,805.32,
657,805.6,699.94,805.39,
658,805.89,700.13,805.47,
659,805.18,699.86,805.3,
660,806.48,700.28,805.4,
661,802.35,699.91,805.48,
662,805.68,700.02,805.16,
663,802.46,699.88,805.59,
664,804.5,700.09,805.36,
665,807.6,699.9,805.47,
666,805.58,700.3,805.3,
667,800.38,699.59,805.55,
668,806.66,699.94,805.49,
669,804.76,699.96,805.43,
670,803.6,700.09,805.75,
671,805.07,699.97,805.6,
672,806.3,699.84,805.55,
673,805.43,699.7,805.37,
674,804.2,699.92,805.47,
675,805.17,700.23,805.45,
676,805.75,700.1,805.37,
677,805.28,699.86,805.51,
678,804.9,700.13,805.29,
679,800.8,699.77,805.64,
680,803.92,700.42,805.25,
681,802.02,699.81,805.28,
682,804.65,700.22,805.41,
683,797.2,699.41,805.37,
684,810.57,700.43,805.64,
685,809.63,699.78,805.19,
686,798.55,699.67,805.38,
687,805.39,700.18,805.21,
688,807.16,699.97,805.37,
689,806.96,700.04,805.34,
690,805.73,700.25,805.42,
691,801.91,699.63,805.37,
692,805.04,700.25,805.44,
693,804.25,700.21,805.39,
694,805.46,700.23,805.48,
695,804.16,699.71,805.28,
696,805.79,699.94,805.36,
697,804.56,699.74,805.53,
698,802.2,700.04,805.31,
699,802.53,700.12,805.4,
700,814.85,699.95,805.46,
701,811.43,700.07,805.47,
702,805.74,699.91,805.33,
703,806.23,699.95,805.41,
704,804.46,700.17,805.35,
705,804.68,699.93,805.46,
706,804.02,700.0,805.37,
707,799.89,700.04,805.35,
708,802.88,700.03,805.64,
709,805.34,700.05,805.63,
710,804.51,699.95,805.5,
711,804.3,699.58,805.32,
712,804.49,700.3,805.46,
713,804.55,699.9,805.5,
714,803.36,699.96,805.36,
715,805.64,699.97,805.44,
716,804.64,699.86,805.25,
717,805.34,700.23,805.42,
718,805.31,699.86,805.48,
719,805.18,700.25,805.41,
720,803.82,699.99,805.22,
721,804.76,700.17,805.39,
722,805.78,700.21,805.26,
723,805.41,699.96,805.42,
724,803.64,700.01,805.52,
725,806.04,700.19,805.54,
726,800.49,699.52,805.48,
727,805.22,700.27,805.7,
728,803.95,700.07,805.41,
729,804.73,700.0,805.24,
730,803.22,700.02,805.52,
731,804.53,699.87,805.2,
732,804.47,699.82,805.42,
733,807.86,700.61,805.27,
734,813.68,699.7,805.32,
735,808.12,700.28,805.25,
736,804.44,699.57,805.44,
737,803.94,699.97,805.37,
738,797.44,699.71,805.37,
739,803.29,700.76,805.46,
740,803.6,699.71,805.59,
741,805.68,700.38,805.23,
742,812.02,699.96,805.45,
743,809.55,699.74,805.22,
744,805.45,699.88,805.6,
745,803.41,700.28,805.35,
746,803.33,699.96,805.43,
747,803.6,700.14,805.39,
748,799.23,699.96,805.48,
749,803.02,700.35,805.62,
750,805.27,699.83,805.36,
751,805.35,700.17,805.54,
752,806.12,700.05,805.28,
753,805.19,700.15,805.3,
754,807.09,700.34,805.24,
755,806.93,699.89,805.15,
756,805.64,699.9,805.59,
757,805.95,699.97,805.65,
758,805.9,699.97,805.29,
759,806.81,700.23,805.48,
760,805.66,700.06,805.42,
761,805.42,699.87,805.45,
762,804.49,699.84,805.49,
763,803.21,700.18,805.26,
764,804.44,699.83,805.37,
765,805.96,700.16,805.49,
766,802.36,699.93,805.45,
767,804.95,700.02,805.23,
768,805.09,700.16,805.57,
769,804.74,699.88,805.17,
770,802.37,699.85,805.4,
771,803.17,700.04,805.51,
772,806.12,700.15,805.35,
773,807.01,699.79,805.37,
774,805.09,700.12,805.4,
775,803.76,699.83,805.36,
776,804.85,700.06,805.73,
777,805.42,700.22,805.17,
778,805.15,699.98,805.38,
779,804.6,699.83,805.31,
780,803.54,700.19,805.47,
781,803.61,699.93,805.57,
782,805.77,700.11,805.31,
783,805.83,700.1,805.12,
784,801.65,699.96,805.36,
785,810.49,700.04,805.44,
786,804.16,700.15,805.41,
787,803.6,700.04,805.55,
788,804.36,699.95,805.58,
789,805.76,700.14,805.55,
790,806.05,700.03,805.37,
791,815.63,700.3,805.37,
792,807.52,699.92,805.33,
793,804.14,699.78,805.28,
794,797.86,700.2,805.38,
795,802.4,700.14,805.25,
796,804.71,700.06,805.5,
797,803.3,699.89,805.29,
798,813.05,194.56,800.56,
799,47.82,0.26,23.9,
800,0.45,0.34,0.0,
801,0.43,0.3,0.0,
802,0.43,0.33,0.0,
803,0.42,0.34,0.0,
804,0.43,0.31,0.0,
805,0.43,0.31,0.0,
806,0.44,0.33,0.0,
807,0.42,0.32,0.0,
808,0.44,0.32,0.0,
809,0.44,0.38,0.0,
810,0.42,0.35,0.0,
811,0.44,0.34,0.0,
812,0.43,0.35,0.0,
813,0.41,0.32,0.0,
814,0.45,0.35,0.0,
815,0.44,0.31,0.0,
816,0.44,0.31,0.0,
817,0.44,0.33,0.0,
818,0.44,0.36,0.0,
819,0.46,0.34,0.0,
820,0.43,0.27,0.0,
821,0.45,0.34,0.0,
822,0.44,0.33,0.0,
823,0.45,0.34,0.0,
824,0.44,0.33,0.0,
825,0.44,0.29,0.0,
826,0.45,0.36,0.0,
827,0.44,0.3,0.0,
828,0.44,0.34,0.0,
829,0.45,0.3,0.0,
830,0.44,0.33,0.0,
831,0.44,0.33,0.0,
832,0.43,0.32,0.0,
833,0.44,0.31,0.0,
834,0.44,0.27,0.0,
835,0.44,0.33,0.0,
836,0.44,0.36,0.0,
837,0.44,0.35,0.0,
