,FIT_100_001_P.PV,FIT_900_002_P.PV,FIT_1000_001_P.PV,"SUM(A, B, C)"
176,4691.74,2095.07,2637.8,2408.09
177,4679.83,2105.91,2486.14,2415.12
178,4627.77,2102.44,2556.1,2414.87
179,4770.62,2099.8,2587.06,2414.38
180,5257.87,2108.91,3082.48,2412.03
181,4909.1,2101.15,2820.86,2418.1400000000003
182,4761.74,2110.7,2683.76,2413.3
183,4986.36,2115.24,2788.49,2412.29
184,4976.15,2108.88,2681.05,2420.23
185,4575.8,2116.02,2583.34,2418.3
186,5168.43,2110.17,2967.69,2417.49
187,5062.44,2117.09,2846.82,2413.71
188,4489.33,2113.94,2529.37,2421.6
189,4660.27,2109.57,2712.45,2408.67
190,5176.46,2119.85,2709.57,2415.87
191,4562.28,2107.38,2710.89,2417.62
192,4751.36,2105.71,2702.49,2418.0
193,4643.07,2117.76,2589.74,2415.2799999999997
194,4920.79,2106.95,2671.95,2413.48
195,4783.96,2107.14,2889.81,2409.91
196,4780.59,2105.9,2587.65,2420.17
197,4573.81,2102.12,2595.3,2415.29
198,4646.32,2102.48,2611.83,2410.74
199,4732.18,2098.31,2508.39,2419.4700000000003
200,4622.29,2101.39,2553.84,2415.16
201,4579.94,2103.8,2536.21,2419.56
202,5320.96,2099.11,2859.31,2414.32
203,4884.6,2103.07,2701.74,2415.33
204,4549.45,2099.96,2657.19,2414.41
205,4742.18,2103.49,2590.06,2416.98
206,5039.61,2102.22,2678.82,2413.65
207,4938.93,2102.14,3036.09,2418.17
208,4735.24,2113.53,2554.63,2413.33
209,5165.89,2107.85,2753.33,2415.34
210,4604.54,2113.26,2671.22,2418.67
211,4689.42,2112.21,2579.2,2415.76
212,5342.02,2112.07,2975.66,2409.62
213,4593.5,2114.56,2678.87,2415.68
214,4650.6,2104.29,2549.2,2418.06
215,4662.1,2114.99,2509.29,2414.21
216,4647.68,2116.24,2657.51,2418.24
217,4643.52,2110.15,2529.16,2415.25
218,4655.49,2109.26,2507.25,2414.0499999999997
219,4565.39,2109.41,2540.41,2407.79
220,4726.19,2107.67,2573.13,2413.5499999999997
221,4572.09,2110.62,2509.18,2411.35
222,4741.55,2107.13,2406.77,2418.02
223,4501.32,2107.07,2504.04,2421.96
224,4828.17,2104.45,2493.06,2418.32
225,4560.76,2101.77,2515.5,2415.05
226,4550.95,2096.12,2568.43,2415.06
227,4792.21,2100.95,2417.21,2414.67
228,4665.6,2105.76,2683.46,2409.5099999999998
229,5451.74,2096.26,3249.22,2408.63
230,5041.71,2103.18,2707.1,2418.64
231,4494.91,2102.23,2691.34,2412.96
232,4706.81,2095.4,2543.26,2413.84
233,4790.74,2106.12,2637.81,2417.98
234,4382.12,2105.4,2539.59,2419.9399999999996
235,4778.7,2106.1,2569.52,2421.89
236,4707.03,2105.69,2528.97,2414.13
237,4564.26,2108.94,2517.44,2415.6800000000003
238,4590.83,2107.24,2503.49,2410.48
239,4886.2,1793.08,2701.12,2409.91
240,4366.62,2097.27,2782.26,2415.33
241,4768.56,2123.34,2419.01,2413.27
242,4861.87,2115.59,2570.63,2410.15
243,5320.41,2106.12,3145.39,2415.81
244,5168.78,2120.54,2825.07,2423.97
245,4456.14,2113.12,2652.38,2421.21
246,4635.05,2108.11,2621.48,2418.9800000000005
247,4924.45,2113.17,2595.19,2419.06
248,4438.26,2106.7,2725.67,2409.36
249,4635.84,2107.52,2550.88,2412.84
250,4852.62,2099.91,2498.1,2417.75
251,5110.8,2102.0,3020.69,2408.2
252,4845.99,2103.31,2712.38,2417.31
253,4677.9,2104.83,2534.61,2417.8599999999997
254,4585.57,2100.7,2528.03,2414.52
255,4734.64,2094.05,2667.94,2412.8999999999996
256,5168.57,2106.54,2743.71,2409.43
257,5233.89,2101.95,3060.12,2414.62
258,4747.22,2098.87,2541.46,2414.1800000000003
259,4583.18,2108.09,2566.97,2418.06
260,4663.88,2103.48,2617.12,2414.12
261,4819.81,2109.95,2488.37,2415.96
262,4392.33,2112.33,2614.87,2418.1
263,4810.14,2109.4,2538.24,2415.47
264,5192.08,2114.28,2891.25,2409.23
265,5034.04,2116.09,3078.32,2421.7200000000003
266,4876.76,2114.5,2593.08,2421.35
267,4383.23,2118.06,2609.18,2417.59
268,4800.09,2113.81,2559.9,2415.84
269,4807.81,2110.02,2559.75,2417.59
270,4990.31,2117.82,2999.7,2414.0699999999997
271,4726.93,2113.94,2589.0,2415.55
272,5146.18,2108.03,2838.34,2414.12
273,4553.09,2071.1,2685.69,2356.9700000000003
274,4672.08,1959.16,2461.9,2246.31
275,4411.18,1967.02,2509.39,2256.2
276,4416.89,1992.39,2480.3,2284.8500000000004
277,4757.57,2103.32,2543.11,2413.68
278,4686.52,2097.95,2695.56,2418.23
279,5060.98,2106.11,2694.22,2414.8999999999996
280,4872.55,2099.03,2772.52,2413.0600000000004
281,4670.38,2097.07,2517.13,2421.61
282,4846.68,2101.58,2503.62,2418.0
283,4726.95,2100.74,2604.58,2417.1099999999997
284,4600.74,2101.2,2530.04,2415.8199999999997
285,4824.19,2105.16,2719.19,2413.34
286,4759.23,2099.56,2600.71,2417.75
287,4581.51,2103.83,2584.94,2411.79
288,4786.18,2112.72,2675.18,2417.76
289,4875.6,2114.46,2488.12,2414.71
290,4908.4,2110.04,2869.82,2413.5699999999997
291,5011.91,2115.25,2706.32,2416.64
292,4675.52,2112.51,2709.35,2418.5299999999997
293,4626.0,2112.43,2595.67,2413.81
294,4840.24,2120.92,2557.95,2417.91
295,4738.75,2111.37,2597.95,2412.86
296,4574.27,2114.21,2489.29,2419.2
297,4827.66,2115.44,2522.34,2418.51
298,4752.19,2109.41,2543.78,2415.4700000000003
299,4588.46,2117.57,2498.42,2417.47
300,4895.9,2108.45,2715.13,2416.39
301,5083.08,2110.01,2696.5,2411.23
302,4891.69,2102.95,2976.16,2424.01
303,4836.03,2104.57,2559.39,2415.8
304,4839.54,2111.81,2640.57,2419.0
305,4545.43,2105.49,2629.45,2417.39
306,4791.11,2099.35,2714.98,2415.1800000000003
307,4823.03,2108.21,2546.5,2415.38
308,4560.43,2099.67,2571.9,2418.21
309,4758.41,2100.96,2690.63,2416.3900000000003
