,FIT_400_001C_P.PV,FIT_400_002C_P.PV,Q_400_001C_P.PV
356,804.27,699.9,805.67
357,804.35,699.69,805.3
358,805.73,700.17,805.62
359,805.36,700.01,804.7
360,805.04,699.99,805.95
361,804.56,699.89,805.18
362,808.0,700.28,805.47
363,804.35,699.53,805.44
364,805.1,699.89,804.96
365,802.57,700.05,805.27
366,805.26,700.29,805.64
367,803.93,699.91,805.9
368,805.26,699.92,805.69
369,805.01,700.11,805.38
370,805.05,700.03,804.78
371,805.07,699.92,805.41
372,805.55,699.54,805.45
373,803.83,699.78,805.23
374,806.09,700.38,805.33
375,802.27,699.83,805.48
376,805.57,699.77,805.69
377,805.43,699.84,805.28
378,803.17,700.07,805.29
379,804.61,700.06,805.25
380,804.47,700.09,805.21
381,807.47,699.71,805.62
382,803.93,699.88,805.65
383,805.76,700.2,805.02
384,805.03,700.0,805.66
385,803.26,699.52,805.92
386,697.96,699.99,678.17
387,805.05,699.99,805.38
388,805.05,699.99,805.38
389,805.05,699.99,805.38
390,805.05,699.99,805.38
391,805.05,699.99,805.38
392,805.05,699.99,805.38
393,805.05,699.99,805.38
394,805.05,699.99,805.38
395,805.05,699.99,805.38
396,805.05,699.99,805.38
397,805.05,699.99,805.38
398,805.05,699.99,805.38
399,805.05,699.99,805.38
400,805.05,699.99,805.38
401,552.31,699.99,805.38
402,802.62,699.99,810.01
403,808.38,702.99,805.57
404,806.02,700.03,805.21
405,803.78,699.68,805.54
406,806.5,700.36,805.46
407,805.64,700.29,805.24
408,804.35,700.18,805.29
409,805.5,699.28,805.08
410,805.17,699.77,805.18
411,806.21,700.22,805.22
412,805.66,699.86,805.01
413,805.85,700.2,805.55
414,802.38,699.73,805.59
415,807.05,700.07,805.61
416,805.68,699.91,805.57
417,805.65,700.11,805.32
418,802.81,699.64,805.12
419,809.94,700.59,805.25
420,804.36,699.72,805.48
421,804.82,700.31,805.4
422,805.35,700.02,805.22
423,807.18,700.03,804.99
424,805.09,700.34,805.03
425,802.17,699.71,805.65
426,806.57,700.39,805.74
427,805.34,699.61,805.24
428,805.49,699.86,805.11
429,804.01,699.83,805.43
430,806.52,700.23,805.49
431,806.02,699.74,805.8
432,805.08,700.13,804.87
433,805.48,700.29,805.35
434,803.73,700.61,805.26
435,806.35,700.06,805.19
436,805.26,699.83,805.9
437,804.79,700.06,805.65
438,807.37,700.13,805.75
439,806.85,700.19,805.41
440,805.51,700.53,805.5
441,804.84,700.01,805.28
442,805.01,700.28,805.47
443,805.61,699.67,805.37
444,805.47,699.82,805.24
445,804.25,700.08,804.93
446,805.57,700.21,805.26
447,802.6,699.48,805.09
448,805.85,700.51,805.67
449,788.61,699.99,769.28
450,805.05,699.99,805.38
451,805.05,699.99,805.38
452,805.05,699.99,805.38
453,805.05,699.99,805.38
454,805.05,699.99,805.38
455,805.05,699.99,805.38
456,805.05,699.99,805.38
457,805.05,699.99,805.38
458,805.05,699.99,805.38
459,805.05,699.99,805.38
460,805.05,699.99,805.38
461,805.05,699.99,805.38
462,805.05,699.99,805.38
463,805.05,699.99,805.38
464,805.05,699.99,805.38
465,805.05,699.99,805.38
466,805.05,699.99,805.38
467,805.05,699.99,805.38
468,805.05,699.99,805.38
469,805.05,699.99,805.38
470,805.05,699.99,805.38
471,805.05,699.99,805.38
472,805.05,699.99,805.38
473,805.05,699.99,805.38
474,805.05,699.99,805.38
475,805.05,699.99,805.38
476,805.05,699.99,805.38
477,805.05,699.99,805.38
478,805.05,699.99,805.38
479,805.05,699.99,805.38
480,805.05,699.99,805.38
481,805.05,699.99,805.38
482,805.05,699.99,805.38
483,805.05,699.99,805.38
484,805.05,699.99,805.38
485,805.05,699.99,805.38
486,805.05,699.99,805.38
487,805.05,699.99,805.38
488,805.05,699.99,805.38
489,805.05,699.99,805.38
490,805.05,699.99,805.38
491,805.05,699.99,805.38
492,805.05,699.99,805.38
493,805.05,699.99,805.38
494,805.05,699.99,805.38
495,805.05,699.99,805.38
496,805.05,699.99,805.38
497,805.05,699.99,805.38
498,805.05,699.99,805.38
499,559.82,699.99,805.38
500,806.19,699.99,805.01
501,803.57,428.46,809.01
502,803.91,699.08,805.21
503,805.29,700.29,805.58
504,806.47,699.95,805.56
505,805.27,699.49,805.05
506,805.72,699.89,805.1
507,807.33,700.23,805.14
508,803.58,699.27,805.52
509,805.75,700.12,805.57
510,806.38,699.9,805.35
511,805.09,700.04,805.23
512,804.79,700.04,805.21
513,805.37,699.59,805.13
514,807.72,699.95,805.16
515,804.78,700.57,805.18
516,803.91,699.92,805.27
517,805.1,700.43,805.47
518,808.17,700.06,805.5
519,804.14,699.33,805.32
520,806.41,700.01,805.56
521,805.36,699.79,805.72
522,805.33,699.83,805.02
523,805.34,700.25,805.35
524,803.67,699.85,805.44
525,805.76,700.07,805.62
